"Notes"	"County of Residence"	"County of Residence Code"	Births	Total Population	Birth Rate
	"Washtenaw County, MI"	"26161"	7228	732336	9.87
	"Wayne County, MI"	"26163"	46428	3502982	13.25
	"Unidentified Counties, MI"	"26999"	43441	4362625	9.96
	"Anoka County, MN"	"27003"	8438	697330	12.10
	"Dakota County, MN"	"27037"	10438	839237	12.44
	"Hennepin County, MN"	"27053"	32817	2484507	13.21
	"Olmsted County, MN"	"27109"	4235	308032	13.75
	"Ramsey County, MN"	"27123"	15417	1088623	14.16
	"St. Louis County, MN"	"27137"	3965	399980	9.91
	"Scott County, MN"	"27139"	3728	289507	12.88
	"Stearns County, MN"	"27145"	4092	313474	13.05
	"Washington County, MN"	"27163"	5622	509465	11.04
	"Wright County, MN"	"27171"	3493	266836	13.09
	"Unidentified Counties, MN"	"27999"	46099	3899567	11.82
	"DeSoto County, MS"	"28033"	4319	354362	12.19
	"Harrison County, MS"	"28047"	5463	408261	13.38
	"Hinds County, MS"	"28049"	6249	480726	13.00
	"Jackson County, MS"	"28059"	3312	283393	11.69
	"Rankin County, MS"	"28121"	3534	302308	11.69
	"Unidentified Counties, MS"	"28999"	52408	4143776	12.65
	"Boone County, MO"	"29019"	4165	354865	11.74
	"Clay County, MO"	"29047"	6002	481959	12.45
	"Franklin County, MO"	"29071"	2504	206168	12.15
	"Greene County, MO"	"29077"	6918	578495	11.96
	"Jackson County, MO"	"29095"	18699	1390696	13.45
	"Jasper County, MO"	"29097"	3265	239328	13.64
	"Jefferson County, MO"	"29099"	5149	448036	11.49
	"St. Charles County, MO"	"29183"	8946	786422	11.38
	"St. Louis County, MO"	"29189"	23066	1995307	11.56
	"St. Louis city, MO"	"29510"	8455	620030	13.64
	"Unidentified Counties, MO"	"29999"	60570	5105226	11.86
	"Missoula County, MT"	"30063"	2325	233571	9.95
	"Yellowstone County, MT"	"30111"	3833	317417	12.08
	"Unidentified Counties, MT"	"30999"	17923	1542025	11.62
	"Douglas County, NE"	"31055"	17137	1116615	15.35
	"Lancaster County, NE"	"31109"	7944	623995	12.73
	"Sarpy County, NE"	"31153"	5053	360462	14.02
	"Unidentified Counties, NE"	"31999"	22276	1726120	12.91
	"Clark County, NV"	"32003"	54337	4359743	12.46
	"Washoe County, NV"	"32031"	10597	914203	11.59
	"Unidentified Counties, NV"	"32999"	7082	664151	10.66
	"Hillsborough County, NH"	"33011"	8418	817458	10.30
	"Merrimack County, NH"	"33013"	2589	297798	8.69
	"Rockingham County, NH"	"33015"	5323	609614	8.73
	"Strafford County, NH"	"33017"	2391	256041	9.34
	"Unidentified Counties, NH"	"33999"	5662	696679	8.13
	"Atlantic County, NJ"	"34001"	5640	540909	10.43
	"Bergen County, NJ"	"34003"	18803	1887557	9.96
	"Burlington County, NJ"	"34005"	8843	897880	9.85
	"Camden County, NJ"	"34007"	12248	1020869	12.00
	"Cumberland County, NJ"	"34011"	3715	306335	12.13
	"Essex County, NJ"	"34013"	20740	1605199	12.92
	"Gloucester County, NJ"	"34015"	5728	584536	9.80
	"Hudson County, NJ"	"34017"	20548	1369626	15.00
	"Hunterdon County, NJ"	"34019"	1879	249735	7.52
	"Mercer County, NJ"	"34021"	8361	745756	11.21
	"Middlesex County, NJ"	"34023"	18455	1679871	10.99
	"Monmouth County, NJ"	"34025"	11697	1252197	9.34
	"Morris County, NJ"	"34027"	9269	998116	9.29
	"Ocean County, NJ"	"34029"	17163	1190440	14.42
	"Passaic County, NJ"	"34031"	13632	1020552	13.36
	"Somerset County, NJ"	"34035"	6319	669183	9.44
	"Sussex County, NJ"	"34037"	2393	284204	8.42
	"Union County, NJ"	"34039"	13615	1119522	12.16
	"Warren County, NJ"	"34041"	1893	213415	8.87
	"Unidentified Counties, NJ"	"34999"	2956	314211	9.41
	"Bernalillo County, NM"	"35001"	15010	1353726	11.09
	"Dona Ana County, NM"	"35013"	5513	429786	12.83
	"Sandoval County, NM"	"35043"	2876	284532	10.11
	"San Juan County, NM"	"35045"	3198	242005	13.21
	"Santa Fe County, NM"	"35049"	2512	297401	8.45
	"Unidentified Counties, NM"	"35999"	19350	1561635	12.39
	"Albany County, NY"	"36001"	6128	618458	9.91
	"Bronx County, NY"	"36005"	41749	2926880	14.26
	"Broome County, NY"	"36007"	3964	388973	10.19
	"Chautauqua County, NY"	"36013"	2689	258550	10.40
	"Dutchess County, NY"	"36027"	5123	590041	8.68
	"Erie County, NY"	"36029"	19786	1846574	10.71
	"Jefferson County, NY"	"36045"	3900	228193	17.09
	"Kings County, NY"	"36047"	79994	5277921	15.16
	"Monroe County, NY"	"36055"	15897	1495369	10.63
	"Nassau County, NY"	"36059"	28507	2731014	10.44
	"New York County, NY"	"36061"	35091	3308461	10.61
	"Niagara County, NY"	"36063"	4253	423086	10.05
	"Oneida County, NY"	"36065"	5052	462522	10.92
	"Onondaga County, NY"	"36067"	10294	931592	11.05
	"Ontario County, NY"	"36069"	1981	219727	9.02
	"Orange County, NY"	"36071"	10085	761436	13.24
	"Oswego County, NY"	"36075"	2579	237465	10.86
	"Queens County, NY"	"36081"	59385	4691636	12.66
	"Rensselaer County, NY"	"36083"	3315	319792	10.37
	"Richmond County, NY"	"36085"	10908	955473	11.42
	"Rockland County, NY"	"36087"	10921	655648	16.66
	"St. Lawrence County, NY"	"36089"	2121	219661	9.66
	"Saratoga County, NY"	"36091"	4345	456922	9.51
	"Schenectady County, NY"	"36093"	3584	310118	11.56
	"Suffolk County, NY"	"36103"	30918	2985536	10.36
	"Tompkins County, NY"	"36109"	1554	209673	7.41
	"Ulster County, NY"	"36111"	2935	358642	8.18
	"Westchester County, NY"	"36119"	20680	1954786	10.58
	"Unidentified Counties, NY"	"36999"	36282	3770539	9.62
	"Alamance County, NC"	"37001"	3796	322079	11.79
	"Brunswick County, NC"	"37019"	1986	257850	7.70
	"Buncombe County, NC"	"37021"	4988	513695	9.71
	"Cabarrus County, NC"	"37025"	5070	408462	12.41
	"Catawba County, NC"	"37035"	3316	314433	10.55
	"Craven County, NC"	"37049"	2824	206023	13.71
	"Cumberland County, NC"	"37051"	10952	659673	16.60
	"Davidson County, NC"	"37057"	3532	330392	10.69
	"Durham County, NC"	"37063"	8527	617852	13.80
	"Forsyth County, NC"	"37067"	8864	747831	11.85
	"Gaston County, NC"	"37071"	5112	437147	11.69
	"Guilford County, NC"	"37081"	12477	1048283	11.90
	"Harnett County, NC"	"37085"	3747	263635	14.21
	"Henderson County, NC"	"37089"	2129	229917	9.26
	"Iredell County, NC"	"37097"	3781	348627	10.85
	"Johnston County, NC"	"37101"	4654	388158	11.99
	"Mecklenburg County, NC"	"37119"	29634	2131672	13.90
	"New Hanover County, NC"	"37129"	4508	450681	10.00
	"Onslow County, NC"	"37133"	8021	381029	21.05
	"Orange County, NC"	"37135"	2345	286742	8.18
	"Pitt County, NC"	"37147"	4074	356262	11.44
	"Randolph County, NC"	"37151"	3176	286698	11.08
	"Robeson County, NC"	"37155"	3557	265841	13.38
	"Rowan County, NC"	"37159"	3238	280577	11.54
	"Union County, NC"	"37179"	4797	457972	10.47
	"Wake County, NC"	"37183"	25700	2118994	12.13
	"Wayne County, NC"	"37191"	3247	248322	13.08
	"Unidentified Counties, NC"	"37999"	62852	6061360	10.37
	"Cass County, ND"	"38017"	5173	353036	14.65
	"Unidentified Counties, ND"	"38999"	16947	1160309	14.61
	"Allen County, OH"	"39003"	2501	206940	12.09
	"Ashtabula County, OH"	"39007"	2224	196038	11.34
	"Butler County, OH"	"39017"	8918	758141	11.76
	"Clark County, OH"	"39023"	3146	269343	11.68
	"Clermont County, OH"	"39025"	4604	407236	11.31
	"Columbiana County, OH"	"39029"	2095	206762	10.13
	"Cuyahoga County, OH"	"39035"	29308	2497866	11.73
	"Delaware County, OH"	"39041"	4153	396927	10.46
	"Fairfield County, OH"	"39045"	3384	307330	11.01
	"Franklin County, OH"	"39049"	37931	2556499	14.84
	"Greene County, OH"	"39057"	3552	331517	10.71
	"Hamilton County, OH"	"39061"	21653	1622921	13.34
	"Lake County, OH"	"39085"	4361	458731	9.51
	"Licking County, OH"	"39089"	3941	345646	11.40
	"Lorain County, OH"	"39093"	6478	614289	10.55
	"Lucas County, OH"	"39095"	11072	863375	12.82
	"Mahoning County, OH"	"39099"	4964	459804	10.80
	"Medina County, OH"	"39103"	3536	355592	9.94
	"Miami County, OH"	"39109"	2381	209801	11.35
	"Montgomery County, OH"	"39113"	13361	1062781	12.57
	"Portage County, OH"	"39133"	2792	324198	8.61
	"Richland County, OH"	"39139"	2645	241696	10.94
	"Stark County, OH"	"39151"	8261	746154	11.07
	"Summit County, OH"	"39153"	11900	1081528	11.00
	"Trumbull County, OH"	"39155"	4208	402205	10.46
	"Warren County, OH"	"39165"	4662	455945	10.22
	"Wayne County, OH"	"39169"	2989	232508	12.86
	"Wood County, OH"	"39173"	2766	260711	10.61
	"Unidentified Counties, OH"	"39999"	61131	5400498	11.32
	"Canadian County, OK"	"40017"	3544	276458	12.82
	"Cleveland County, OK"	"40027"	5797	558296	10.38
	"Comanche County, OK"	"40031"	3492	243662	14.33
	"Oklahoma County, OK"	"40109"	23751	1570928	15.12
	"Tulsa County, OK"	"40143"	18759	1289206	14.55
	"Unidentified Counties, OK"	"40999"	47463	3915875	12.12
	"Clackamas County, OR"	"41005"	8198	820734	9.99
	"Deschutes County, OR"	"41017"	3614	368182	9.82
	"Douglas County, OR"	"41019"	2155	217862	9.89
	"Jackson County, OR"	"41029"	4546	434006	10.47
	"Lane County, OR"	"41039"	7013	744267	9.42
	"Linn County, OR"	"41043"	2977	247896	12.01
	"Marion County, OR"	"41047"	9006	677602	13.29
	"Multnomah County, OR"	"41051"	17654	1607321	10.98
	"Washington County, OR"	"41067"	13553	1171736	11.57
	"Unidentified Counties, OR"	"41999"	20450	1946635	10.51
	"Adams County, PA"	"42001"	1894	204516	9.26
	"Allegheny County, PA"	"42003"	26046	2448413	10.64
	"Beaver County, PA"	"42007"	3237	333569	9.70
	"Berks County, PA"	"42011"	9505	832666	11.42
	"Blair County, PA"	"42013"	2475	248107	9.98
	"Bucks County, PA"	"42017"	11733	1254740	9.35
	"Butler County, PA"	"42019"	3575	373955	9.56
	"Cambria County, PA"	"42021"	2628	267786	9.81
	"Centre County, PA"	"42027"	2379	324124	7.34
	"Chester County, PA"	"42029"	10648	1035605	10.28
	"Cumberland County, PA"	"42041"	5295	498572	10.62
	"Dauphin County, PA"	"42043"	6841	549417	12.45
	"Delaware County, PA"	"42045"	13151	1128098	11.66
