"Notes"	"County of Residence"	"County of Residence Code"	Births	Total Population	Birth Rate
	"Greenville County, SC"	"45045"	6409	506837	12.65
	"Horry County, SC"	"45051"	3167	333268	9.50
	"Lexington County, SC"	"45063"	3210	290642	11.04
	"Pickens County, SC"	"45077"	1169	123479	9.47
	"Richland County, SC"	"45079"	4646	411592	11.29
	"Spartanburg County, SC"	"45083"	3820	306854	12.45
	"Sumter County, SC"	"45085"	1386	106847	12.97
	"York County, SC"	"45091"	2958	266439	11.10
	"Unidentified Counties, SC"	"45999"	13038	1210232	10.77
	"Minnehaha County, SD"	"46099"	2911	188616	15.43
	"Pennington County, SD"	"46103"	1468	110141	13.33
	"Unidentified Counties, SD"	"46999"	7755	570909	13.58
	"Blount County, TN"	"47009"	1220	129929	9.39
	"Davidson County, TN"	"47037"	10063	691243	14.56
	"Hamilton County, TN"	"47065"	4235	361613	11.71
	"Knox County, TN"	"47093"	5211	461860	11.28
	"Montgomery County, TN"	"47125"	3382	200182	16.89
	"Rutherford County, TN"	"47149"	4030	317157	12.71
	"Shelby County, TN"	"47157"	13163	936961	14.05
	"Sullivan County, TN"	"47163"	1539	157158	9.79
	"Sumner County, TN"	"47165"	2193	183545	11.95
	"Washington County, TN"	"47179"	1236	127806	9.67
	"Williamson County, TN"	"47187"	2401	226257	10.61
	"Wilson County, TN"	"47189"	1567	136442	11.48
	"Unidentified Counties, TN"	"47999"	30776	2785831	11.05
	"Bell County, TX"	"48027"	5976	347833	17.18
	"Bexar County, TX"	"48029"	27014	1958578	13.79
	"Brazoria County, TX"	"48039"	4630	362457	12.77
	"Brazos County, TX"	"48041"	2692	222830	12.08
	"Cameron County, TX"	"48061"	6276	423725	14.81
	"Collin County, TX"	"48085"	10919	969603	11.26
	"Comal County, TX"	"48091"	1480	141009	10.50
	"Dallas County, TX"	"48113"	39263	2618148	15.00
	"Denton County, TX"	"48121"	9786	836210	11.70
	"Ector County, TX"	"48135"	2750	157087	17.51
	"Ellis County, TX"	"48139"	2214	173620	12.75
	"El Paso County, TX"	"48141"	12013	840410	14.29
	"Fort Bend County, TX"	"48157"	9627	764828	12.59
	"Galveston County, TX"	"48167"	3995	335036	11.92
	"Grayson County, TX"	"48181"	1580	131140	12.05
	"Gregg County, TX"	"48183"	1623	123367	13.16
	"Guadalupe County, TX"	"48187"	1773	159659	11.10
	"Harris County, TX"	"48201"	68422	4652980	14.70
	"Hays County, TX"	"48209"	2584	214485	12.05
	"Hidalgo County, TX"	"48215"	14108	860661	16.39
	"Jefferson County, TX"	"48245"	3475	256299	13.56
	"Johnson County, TX"	"48251"	2117	167301	12.65
	"Kaufman County, TX"	"48257"	1675	122883	13.63
	"Lubbock County, TX"	"48303"	4017	305225	13.16
	"McLennan County, TX"	"48309"	3446	251259	13.71
	"Midland County, TX"	"48329"	2826	165049	17.12
	"Montgomery County, TX"	"48339"	7139	570934	12.50
	"Nueces County, TX"	"48355"	4520	361221	12.51
	"Parker County, TX"	"48367"	1498	133463	11.22
	"Potter County, TX"	"48375"	1714	120458	14.23
	"Randall County, TX"	"48381"	1550	134442	11.53
	"Smith County, TX"	"48423"	3055	227727	13.42
	"Tarrant County, TX"	"48439"	27820	2054475	13.54
	"Taylor County, TX"	"48441"	2094	136290	15.36
	"Tom Green County, TX"	"48451"	1558	118019	13.20
	"Travis County, TX"	"48453"	15142	1226698	12.34
	"Webb County, TX"	"48479"	4872	274794	17.73
	"Wichita County, TX"	"48485"	1624	132000	12.30
	"Williamson County, TX"	"48491"	6432	547545	11.75
	"Unidentified Counties, TX"	"48999"	56751	4704848	12.06
	"Cache County, UT"	"49005"	2194	124438	17.63
	"Davis County, UT"	"49011"	5481	347637	15.77
	"Salt Lake County, UT"	"49035"	16754	1135649	14.75
	"Utah County, UT"	"49049"	11618	606425	19.16
	"Washington County, UT"	"49053"	2202	165662	13.29
	"Weber County, UT"	"49057"	3766	251769	14.96
	"Unidentified Counties, UT"	"49999"	6570	470253	13.97
	"Chittenden County, VT"	"50007"	1450	162372	8.93
	"Unidentified Counties, VT"	"50999"	4205	461285	9.12
	"Arlington County, VA"	"51013"	2990	234965	12.73
	"Chesterfield County, VA"	"51041"	3845	343599	11.19
	"Fairfax County, VA"	"51059"	14220	1148433	12.38
	"Henrico County, VA"	"51087"	3895	327898	11.88
	"Loudoun County, VA"	"51107"	5067	398080	12.73
	"Prince William County, VA"	"51153"	6675	463023	14.42
	"Spotsylvania County, VA"	"51177"	1505	133033	11.31
	"Stafford County, VA"	"51179"	1746	146649	11.91
	"Alexandria city, VA"	"51510"	2647	160035	16.54
	"Chesapeake city, VA"	"51550"	2902	240397	12.07
	"Hampton city, VA"	"51650"	1736	134669	12.89
	"Newport News city, VA"	"51700"	2717	179388	15.15
	"Norfolk city, VA"	"51710"	3410	244703	13.94
	"Richmond city, VA"	"51760"	3031	227032	13.35
	"Virginia Beach city, VA"	"51810"	5710	450435	12.68
	"Unidentified Counties, VA"	"51999"	38295	3637681	10.53
	"Benton County, WA"	"53005"	2563	198171	12.93
	"Clark County, WA"	"53011"	5520	474643	11.63
	"Cowlitz County, WA"	"53015"	1295	106910	12.11
	"King County, WA"	"53033"	25300	2188649	11.56
	"Kitsap County, WA"	"53035"	2979	266414	11.18
	"Pierce County, WA"	"53053"	11297	876764	12.88
	"Skagit County, WA"	"53057"	1429	125619	11.38
	"Snohomish County, WA"	"53061"	9883	801633	12.33
	"Spokane County, WA"	"53063"	5895	506152	11.65
	"Thurston County, WA"	"53067"	3067	280588	10.93
	"Whatcom County, WA"	"53073"	2163	221404	9.77
	"Yakima County, WA"	"53077"	3789	250193	15.14
	"Unidentified Counties, WA"	"53999"	12382	1108603	11.17
	"Berkeley County, WV"	"54003"	1361	114920	11.84
	"Kanawha County, WV"	"54039"	1929	183293	10.52
	"Unidentified Counties, WV"	"54999"	15385	1517644	10.14
	"Brown County, WI"	"55009"	3323	262052	12.68
	"Dane County, WI"	"55025"	5883	536416	10.97
	"Fond du Lac County, WI"	"55039"	1066	102548	10.40
	"Kenosha County, WI"	"55059"	1876	168521	11.13
	"La Crosse County, WI"	"55063"	1188	118274	10.04
	"Marathon County, WI"	"55073"	1451	135732	10.69
	"Milwaukee County, WI"	"55079"	13427	952085	14.10
	"Outagamie County, WI"	"55087"	2205	186059	11.85
	"Racine County, WI"	"55101"	2285	196071	11.65
	"Rock County, WI"	"55105"	1911	162309	11.77
	"Sheboygan County, WI"	"55117"	1204	115344	10.44
	"Walworth County, WI"	"55127"	917	103082	8.90
	"Washington County, WI"	"55131"	1291	135101	9.56
	"Waukesha County, WI"	"55133"	3863	400621	9.64
	"Winnebago County, WI"	"55139"	1833	170414	10.76
	"Unidentified Counties, WI"	"55999"	21252	2050854	10.36
	"Unidentified Counties, WY"	"56999"	6903	579315	11.92
"Total"			3855500	325719178	11.84
"---"
"Dataset: Natality, 2016-2017 expanded"
"Query Parameters:"
"Year: 2017"
"Group By: County of Residence"
"Show Totals: True"
"Show Zero Values: True"
"Show Suppressed: False"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/Natality-expanded.html for more information."
"---"
"Query Date: Sep 18, 2019 3:15:54 PM"
"---"
"Suggested Citation: United States Department of Health and Human Services (US DHHS), Centers for Disease Control and Prevention"
"(CDC), National Center for Health Statistics (NCHS), Division of Vital Statistics, Natality public-use data 2016-2017, on CDC"
"WONDER Online Database, October 2018. Accessed at http://wonder.cdc.gov/natality-expanded-current.html on Sep 18, 2019 3:15:54"
"PM"
"---"
Caveats:
"1. Each birth record represents one living baby."
"2. County-level data are shown only for counties with populations of 100,000 persons or more. Within each state, data for all"
"counties with fewer than 100,000 persons are combined together under the label ""Unidentified Counties."""
"3. Birth rates are calculated as the number of births divided by total population in the given year(s). When the numerator is"
"sub-set by mother's race, mother's hispanicity, location, or year of birth, then the same sub-set for age, race, hispanicity,"
"location and year applies to the denominator population."
"4. Birth rates and fertility rates are calculated using the following populations: The populations for year 2017 are from the"
"postcensal single-race series of July 1st estimates of the resident population, released by Census Bureau on June 21, 2018; and"
"the postcensal bridged-race series of July 1st estimates of the resident population, released by NCHS on June 27, 2018. The"
"populations for year 2016 are from the postcensal single-race series of July 1st estimates of the resident population, released"
"by Census Bureau on June 22, 2017; and the postcensal bridged-race series of July 1st estimates of the resident population,"
"released by NCHS on June 26, 2017. More information:"
"http://wonder.cdc.gov/wonder/help/Natality-expanded.html#Denominator-Population-Sources."
"5. The independent city of Baltimore, Maryland (FIPS code 24510) is reported separately from Baltimore County (FIPS code 24005)."
"6. The independent city of St. Louis, Missouri (FIPS code 29510) is reported separately from St. Louis County (FIPS code 29189)."
"7. Bronx, New York (FIPS code 36005) represents Bronx Borough, New York City."
"8. Kings County, New York (FIPS code 36047) represents Brooklyn Borough, New York City."
"9. New York County, New York (FIPS code 36061) represents Manhattan Borough, New York City."
"10. Queens, New York (FIPS code 36081) represents Queens Borough, New York City."
"11. Richmond County, New York (FIPS code 36085) represents Staten Island Borough, New York City."
